Distance_(pixels),Gray_Value
686,2.9124
687,3.2524
688,3.3211
689,2.8559
690,2.8644
691,3.1375
692,3.0678
693,2.6789
694,3.0838
695,3.2043
696,2.7298
697,3.0791
698,3.4284
699,3.4444
700,3.0782
701,3.0895
702,3.4143
703,2.9699
704,3.0923
705,3.5217
706,3.6573
707,3.2806
708,3.5019
709,3.7279
710,3.7514
711,3.3644
712,3.4153
713,3.7194
714,3.3296
715,3.4435
716,3.7910
717,3.9350
718,3.6177
719,3.6271
720,3.9878
721,4.2947
722,4.0612
723,4.2599
724,4.4623
725,4.0019
726,4.0998
727,4.1996
728,4.3362
729,4.0621
730,4.1648
731,4.2957
732,4.3399
733,3.8738
734,4.1205
735,4.1111
736,3.5951
737,3.5857
738,3.7589
739,3.8418
740,3.4190
741,3.3823
742,3.4906
743,3.5556
744,3.0810
745,3.2175
746,3.4011
747,3.0989
748,3.1431
749,3.2232
750,3.5546
751,3.3032
752,3.4831
753,3.7015
754,3.9595
755,3.5979
756,3.6234
757,3.8597
758,3.4953
759,3.7589
760,3.9011
761,4.2514
762,3.9849
763,4.2476
764,4.3625
765,4.0480
766,4.1855
767,4.2608
768,4.6751
769,4.4444
770,4.7203
771,4.8362
772,5.3446
773,5.0725
774,6.2053
775,6.6544
776,6.6977
777,8.6949
778,10.3540
779,14.5217
780,15.8315
781,21.5122
782,23.8795
783,29.3249
784,30.8832
785,32.3861
786,31.5838
787,31.4444
788,31.5367
789,30.9416
790,28.8992
791,27.3314
792,23.4708
793,21.1205
794,15.9068
795,12.9444
796,12.5000
797,12.7382
798,13.4209
799,16.8314
800,19.1855
801,24.0782
802,26.5245
803,30.8324
804,31.6394
805,32.5264
806,32.5650
807,32.0113
808,30.3672
809,29.2298
810,25.4294
811,23.1940
812,18.2495
813,15.2759
814,10.0612
815,9.0537
816,7.2128
817,6.3785
818,6.1422
819,5.4859
820,5.0160
821,4.6902
822,4.7354
823,4.7844
824,4.6365
825,4.8823
826,5.2354
827,5.0866
828,5.0358
829,4.9859
830,5.4793
831,5.3079
832,6.1412
833,6.5169
834,7.8635
835,8.3004
836,11.2429
837,13.3371
838,15.1092
839,21.1328
840,24.3691
841,30.7797
