Distance_(pixels),Gray_Value
632,1.9982
633,2.1360
634,2.6258
635,2.7004
636,2.0693
637,2.1769
638,2.6364
639,2.1751
640,2.0436
641,2.5004
642,2.6018
643,2.0889
644,2.1920
645,2.5138
646,2.4862
647,2.0533
648,2.1200
649,2.6098
650,2.1236
651,2.1778
652,2.7004
653,2.7120
654,2.0827
655,2.1262
656,2.6498
657,2.5378
658,2.1191
659,2.0889
660,2.6916
661,2.2978
662,1.9529
663,2.5396
664,2.6436
665,2.0827
666,1.9671
667,2.3813
668,2.5893
669,2.1982
670,2.4293
671,2.3902
672,2.0196
673,1.9520
674,2.2471
675,2.3120
676,1.8916
677,2.0053
678,2.3093
679,2.1067
680,1.5253
681,1.9556
682,2.1067
683,1.7049
684,1.6836
685,2.0507
686,2.1689
687,1.6836
688,1.6338
689,1.9476
690,1.9004
691,1.4987
692,1.7316
693,1.8267
694,1.5049
695,1.7067
696,1.9582
697,1.9822
698,1.5796
699,1.6053
700,1.8338
701,1.5653
702,1.6124
703,1.8027
704,1.8836
705,1.5876
706,1.5147
707,1.9298
708,2.0684
709,1.6560
710,1.6951
711,1.8276
712,1.5004
713,1.5884
714,1.8382
715,1.9360
716,1.6578
717,1.6302
718,1.7351
719,1.8738
720,1.5831
721,1.6836
722,1.9476
723,1.6604
724,1.7049
725,1.8258
726,1.8187
727,1.6516
728,1.5920
729,1.8071
730,1.9173
731,1.5964
732,1.7564
733,1.9227
734,1.6009
735,1.4987
736,1.8231
737,2.0124
738,1.6782
739,1.8569
740,1.8293
741,1.8036
742,1.4871
743,1.6516
744,1.7244
745,1.3929
746,1.5787
747,1.6391
748,1.6533
749,1.3644
750,1.5280
751,1.6667
752,1.7698
753,1.4773
754,1.5360
755,1.7244
756,1.5502
757,1.5938
758,1.6498
759,1.6933
760,1.4853
761,1.6222
762,1.7227
763,1.4853
764,1.5529
765,1.7529
766,1.9333
767,1.6462
768,1.8098
769,2.0222
770,2.3022
771,2.1778
772,2.3947
773,2.6880
774,2.5778
775,3.0027
776,3.2240
777,3.6462
778,3.5787
779,4.0542
780,4.4231
781,4.9982
782,5.0480
783,5.6987
784,6.2489
785,6.3902
786,7.1067
787,7.6933
788,8.5333
789,8.7573
790,9.7787
791,10.4373
792,11.5218
793,11.9467
794,12.8311
795,14.2960
796,14.8480
797,16.2960
798,17.3040
799,19.2320
800,20.1662
801,24.5644
802,27.9547
803,34.8000
804,38.3049
805,42.6436
806,51.3778
807,55.7822
808,63.3067
809,65.1698
810,68.2329
811,69.5929
812,71.1947
813,71.5182
814,71.0640
815,70.1333
816,68.5004
817,62.9164
818,59.2071
819,51.0018
820,47.9573
821,41.4729
822,37.9378
823,32.0658
824,30.1804
825,28.0151
826,24.5413
827,23.1813
828,20.3236
829,18.8489
830,16.5111
831,15.6773
832,13.6631
833,12.5573
834,10.8347
835,10.4587
836,9.7360
837,8.4267
838,8.2524
839,7.2507
840,6.6231
841,5.6818
842,5.6107
843,4.8142
844,4.3458
845,3.6204
846,3.6231
847,3.3227
848,2.9538
849,3.1076
850,2.5893
851,2.2942
852,2.0133
853,2.1449
854,1.8818
855,1.8080
856,2.0924
857,1.8311
858,1.7529
859,1.4187
860,1.8151
861,1.6107
862,1.4649
863,1.2551
864,1.6178
865,1.5004
866,1.3582
867,1.8560
868,1.7316
869,1.5067
870,1.4329
871,1.6889
872,1.7449
873,1.6276
874,1.5502
875,1.9538
876,1.8498
877,1.6942
878,1.9707
879,1.7609
880,1.5173
881,1.6649
882,1.9876
883,1.9227
884,1.6089
885,1.4000
886,1.7991
887,1.5653
888,1.4844
889,2.0116
890,1.9449
891,1.6631
892,1.5893
893,1.9378
894,1.8400
895,1.6302
896,1.6249
897,2.0204
898,1.7262
899,1.6942
900,2.1413
901,2.1538
902,1.7867
903,1.6196
904,2.1129
905,2.1822
906,1.8276
907,1.7111
908,2.1538
909,1.7387
910,1.5227
911,1.9387
912,2.1129
913,1.7591
914,1.5991
915,2.0000
916,1.9609
917,1.7929
918,2.1618
919,1.9840
