Distance_(pixels),Gray_Value
610,0.6366
611,0.6197
612,0.5624
613,0.6347
614,0.6526
615,0.6113
616,0.6986
617,0.6413
618,0.6178
619,0.5756
620,0.6300
621,0.6376
622,0.5653
623,0.5803
624,0.7061
625,0.6761
626,0.5934
627,0.6235
628,0.5681
629,0.5737
630,0.5700
631,0.6704
632,0.6272
633,0.5840
634,0.7117
635,0.5718
636,0.6423
637,0.5746
638,0.7014
639,0.6573
640,0.6695
641,0.4892
642,0.5681
643,0.6272
644,0.5277
645,0.5700
646,0.6404
647,0.5549
648,0.6131
649,0.6507
650,0.5343
651,0.5108
652,0.4930
653,0.5437
654,0.5465
655,0.5418
656,0.6131
657,0.5831
658,0.5324
659,0.5531
660,0.6009
661,0.6207
662,0.5624
663,0.5183
664,0.5709
665,0.5803
666,0.5202
667,0.5286
668,0.5596
669,0.4854
670,0.5296
671,0.5333
672,0.5709
673,0.5117
674,0.4911
675,0.5746
676,0.5700
677,0.5869
678,0.6338
679,0.6873
680,0.6169
681,0.7033
682,0.7221
683,0.8892
684,0.9502
685,0.9897
686,1.1164
687,1.1427
688,1.2854
689,1.3624
690,1.6770
691,1.7878
692,2.0695
693,2.2516
694,2.6103
695,2.7634
696,2.9352
697,3.4394
698,3.6714
699,4.2282
700,4.4066
701,4.9690
702,5.3502
703,6.1089
704,6.4404
705,7.2667
706,7.8366
707,8.2986
708,9.3577
709,10.0836
710,11.7653
711,12.8009
712,16.2854
713,18.9850
714,23.7005
715,25.5634
716,28.8122
717,30.0883
718,30.9493
719,32.1765
720,32.7117
721,32.9831
722,32.7831
723,31.8272
724,31.1305
725,30.0169
726,29.9211
727,31.0319
728,33.5859
729,34.8366
730,36.9399
731,37.7399
732,38.6714
733,38.8498
734,38.2695
735,37.4423
736,34.5080
737,32.3793
738,29.5437
739,23.3521
740,20.1484
741,13.7850
742,11.3174
743,7.6704
744,6.6075
745,5.0432
746,4.4920
747,3.5033
748,3.0592
749,2.7343
750,1.8526
751,1.7559
752,1.5052
753,1.5070
754,1.1333
755,1.2695
756,1.0357
757,1.1183
758,1.2864
